,file,map,round,start_seconds,end_seconds,winner_team,winner_side,round_type,ct_eq_val,t_eq_val
0,esea_match_13770997.dem,de_overpass,1,94.30782,160.9591,Hentai Hooligans,Terrorist,PISTOL_ROUND,4300,4250
1,esea_match_13770997.dem,de_overpass,2,160.9591,279.3998,Hentai Hooligans,Terrorist,ECO,6300,19400
2,esea_match_13770997.dem,de_overpass,3,279.3998,341.0084,Hentai Hooligans,Terrorist,SEMI_ECO,7650,19250
3,esea_match_13770997.dem,de_overpass,4,341.0084,435.4259,Hentai Hooligans,Terrorist,NORMAL,24900,23400
4,esea_match_13770997.dem,de_overpass,5,435.4259,484.2398,Animal Style,CounterTerrorist,ECO,5400,20550
5,esea_match_13770997.dem,de_overpass,6,484.2398,604.5598,Hentai Hooligans,Terrorist,NORMAL,29650,25450
6,esea_match_13770997.dem,de_overpass,7,604.5598,684.2563,Hentai Hooligans,Terrorist,ECO,3200,25300
7,esea_match_13770997.dem,de_overpass,8,684.2563,763.8902,Animal Style,CounterTerrorist,ECO,4850,27600
8,esea_match_13770997.dem,de_overpass,9,763.8902,844.3071,Animal Style,CounterTerrorist,FORCE_BUY,32150,18200
9,esea_match_13770997.dem,de_overpass,10,844.3071,937.0176,Animal Style,CounterTerrorist,ECO,32950,9950
10,esea_match_13770997.dem,de_overpass,11,937.0176,1031.012,Animal Style,CounterTerrorist,ECO,30100,10350
11,esea_match_13770997.dem,de_overpass,12,1031.012,1089.536,Animal Style,CounterTerrorist,NORMAL,30150,22800
12,esea_match_13770997.dem,de_overpass,13,1089.536,1171.988,Animal Style,CounterTerrorist,NORMAL,31750,19900
13,esea_match_13770997.dem,de_overpass,14,1171.988,1238.029,Hentai Hooligans,Terrorist,SEMI_ECO,32750,14050
14,esea_match_13770997.dem,de_overpass,15,1238.029,1299.653,Animal Style,CounterTerrorist,NORMAL,22000,27450
15,esea_match_13770997.dem,de_overpass,17,1379.35,1513.4820000000002,Hentai Hooligans,CounterTerrorist,ECO,20450,5000
16,esea_match_13770997.dem,de_overpass,18,1513.4820000000002,1566.3370000000002,Hentai Hooligans,CounterTerrorist,ECO,21550,1500
17,esea_match_13770997.dem,de_overpass,19,1566.3370000000002,1670.479,Hentai Hooligans,CounterTerrorist,NORMAL,24650,24000
18,esea_match_13770997.dem,de_overpass,20,1670.479,1786.007,Hentai Hooligans,CounterTerrorist,ECO,31400,4450
19,esea_match_13770997.dem,de_overpass,21,1786.007,1844.938,Hentai Hooligans,CounterTerrorist,NORMAL,31450,26300
20,esea_match_13770997.dem,de_overpass,22,1844.938,1999.946,Animal Style,Terrorist,NORMAL,30200,22050
21,esea_match_13770997.dem,de_overpass,23,1999.946,2100.158,Hentai Hooligans,CounterTerrorist,NORMAL,18200,29300
22,esea_match_13770997.dem,de_overpass,24,2100.158,2157.93,Hentai Hooligans,CounterTerrorist,FORCE_BUY,29100,16150
23,esea_match_13770997.dem,de_overpass,25,2157.93,2207.949,Hentai Hooligans,CounterTerrorist,SEMI_ECO,27800,10900
24,esea_match_13779704.dem,de_cache,1,131.2592,188.1189,Team 1,CounterTerrorist,PISTOL_ROUND,4550,3850
25,esea_match_13779704.dem,de_cache,2,188.1189,274.7697,Team 2,Terrorist,ECO,18450,5300
26,esea_match_13779704.dem,de_cache,3,274.7697,348.559,Team 2,Terrorist,SEMI_ECO,9550,22900
27,esea_match_13779704.dem,de_cache,4,348.559,419.6258,Team 2,Terrorist,ECO,1600,19650
28,esea_match_13779704.dem,de_cache,5,419.6258,487.9857,Team 1,CounterTerrorist,NORMAL,23350,21750
29,esea_match_13779704.dem,de_cache,6,487.9857,600.0935,Team 2,Terrorist,NORMAL,26400,19900
30,esea_match_13779704.dem,de_cache,7,600.0935,701.6241,Team 2,Terrorist,FORCE_BUY,12100,26550
31,esea_match_13779704.dem,de_cache,8,701.6241,754.7443,Team 2,Terrorist,ECO,3050,26350
32,esea_match_13779704.dem,de_cache,9,754.7443,864.2704,Team 1,CounterTerrorist,NORMAL,24350,25450
33,esea_match_13779704.dem,de_cache,10,864.2704,937.7937,Team 1,CounterTerrorist,NORMAL,27700,23950
34,esea_match_13779704.dem,de_cache,11,937.7937,1049.526,Team 2,Terrorist,NORMAL,25900,15550
35,esea_match_13779704.dem,de_cache,12,1049.526,1149.586,Team 2,Terrorist,ECO,2950,20850
36,esea_match_13779704.dem,de_cache,13,1149.586,1349.2520000000002,Team 1,CounterTerrorist,FORCE_BUY,15300,27750
37,esea_match_13779704.dem,de_cache,14,1349.2520000000002,1417.471,Team 1,CounterTerrorist,NORMAL,25950,16000
38,esea_match_13779704.dem,de_cache,15,1451.659,1520.285,Team 1,Terrorist,PISTOL_ROUND,4350,3700
39,esea_match_13779704.dem,de_cache,16,1520.285,1632.001,Team 2,CounterTerrorist,PISTOL_ROUND,4950,14600
40,esea_match_13779704.dem,de_cache,17,1632.001,1697.2479999999998,Team 2,CounterTerrorist,ECO,20800,2000
41,esea_match_13779704.dem,de_cache,18,1697.2479999999998,1747.004,Team 2,CounterTerrorist,ECO,21600,4350
42,esea_match_13779704.dem,de_cache,19,1747.004,1856.655,Team 1,Terrorist,NORMAL,25700,26150
43,esea_match_13779704.dem,de_cache,20,1856.655,1970.249,Team 2,CounterTerrorist,NORMAL,30100,21200
44,esea_match_13779704.dem,de_cache,21,1970.249,2233.7070000000003,Team 1,Terrorist,ECO,27000,7600
45,esea_match_13779704.dem,de_cache,22,2233.7070000000003,2324.285,Team 1,Terrorist,NORMAL,15650,22000
46,esea_match_13779704.dem,de_cache,23,2324.285,2458.798,Team 1,Terrorist,FORCE_BUY,16450,28800
47,esea_match_13779704.dem,de_cache,24,2458.798,2536.233,Team 1,Terrorist,ECO,9500,28150
48,esea_match_13779704.dem,de_cache,25,2536.233,2629.55,Team 2,CounterTerrorist,NORMAL,24150,28150
49,esea_match_13779704.dem,de_cache,26,2629.55,2719.5640000000003,Team 1,Terrorist,NORMAL,24200,25400
50,esea_match_13779704.dem,de_cache,27,2719.5640000000003,2830.639,Team 1,Terrorist,SEMI_ECO,11050,25400
51,esea_match_13779704.dem,de_cache,28,2830.639,2921.656,Team 2,CounterTerrorist,FORCE_BUY,13200,25700
52,esea_match_13779704.dem,de_cache,29,2959.755,3052.039,Team 2,CounterTerrorist,NORMAL,29800,22850
53,esea_match_13779704.dem,de_cache,30,3052.039,3156.198,Team 2,CounterTerrorist,NORMAL,31650,29900
54,esea_match_13779704.dem,de_cache,31,3156.198,3231.943,Team 1,Terrorist,NORMAL,30900,29800
55,esea_match_13779704.dem,de_cache,32,3270.0890000000004,3362.201,Team 1,CounterTerrorist,NORMAL,35550,29400
56,esea_match_13779704.dem,de_cache,33,3362.201,3491.442,Team 1,CounterTerrorist,NORMAL,34800,21950
57,esea_match_13779704.dem,de_cache,34,3491.442,3596.68,Team 2,Terrorist,NORMAL,34900,23800
58,esea_match_13779704.dem,de_cache,35,3662.083,3755.04,Team 1,CounterTerrorist,NORMAL,34300,27150
59,esea_match_13779704.dem,de_cache,36,3755.04,3844.616,Team 2,Terrorist,NORMAL,35000,24950
60,esea_match_13779704.dem,de_cache,37,3844.616,3948.291,Team 2,Terrorist,NORMAL,32100,27950
61,esea_match_13779704.dem,de_cache,38,3986.421,4079.894,Team 2,CounterTerrorist,NORMAL,31050,27750
62,esea_match_13779704.dem,de_cache,39,4079.894,4153.809,Team 2,CounterTerrorist,NORMAL,29500,27350
63,esea_match_13779769.dem,de_inferno,1,131.534,221.2626,Team 1,CounterTerrorist,PISTOL_ROUND,4400,4250
64,esea_match_13779769.dem,de_inferno,2,221.2626,293.4991,Team 1,CounterTerrorist,ECO,19500,1100
65,esea_match_13779769.dem,de_inferno,3,293.4991,428.616,Team 1,CounterTerrorist,NORMAL,23600,19400
66,esea_match_13779769.dem,de_inferno,4,428.616,550.1367,Team 1,CounterTerrorist,SEMI_ECO,28000,12050
67,esea_match_13779769.dem,de_inferno,5,550.1367,666.3692,Team 2,Terrorist,FORCE_BUY,29200,16450
68,esea_match_13779769.dem,de_inferno,6,666.3692,918.9077,Team 1,CounterTerrorist,NORMAL,25500,21600
69,esea_match_13779769.dem,de_inferno,7,918.9077,1121.802,Team 2,Terrorist,ECO,26700,8000
70,esea_match_13779769.dem,de_inferno,8,1121.802,1193.757,Team 2,Terrorist,NORMAL,17550,21750
71,esea_match_13779769.dem,de_inferno,9,1193.757,1305.765,Team 1,CounterTerrorist,ECO,10300,27550
72,esea_match_13779769.dem,de_inferno,10,1305.765,1440.804,Team 1,CounterTerrorist,NORMAL,27350,20600
73,esea_match_13779769.dem,de_inferno,11,1440.804,1554.486,Team 1,CounterTerrorist,SEMI_ECO,29300,13250
74,esea_match_13779769.dem,de_inferno,12,1554.486,1719.799,Team 1,CounterTerrorist,ECO,28500,10400
75,esea_match_13779769.dem,de_inferno,13,1719.799,1851.099,Team 2,Terrorist,NORMAL,27650,23250
76,esea_match_13779769.dem,de_inferno,14,1886.286,1947.477,Team 1,Terrorist,NORMAL,2950,3550
77,esea_match_13779769.dem,de_inferno,15,1947.477,2027.254,Team 2,CounterTerrorist,FORCE_BUY,8300,15250
78,esea_match_13779769.dem,de_inferno,16,2027.254,2120.785,Team 2,CounterTerrorist,PISTOL_ROUND,18050,4400
79,esea_match_13779769.dem,de_inferno,17,2120.785,2207.243,Team 2,CounterTerrorist,FORCE_BUY,27100,15900
80,esea_match_13779769.dem,de_inferno,18,2207.243,2320.034,Team 1,Terrorist,ECO,26550,6800
81,esea_match_13779769.dem,de_inferno,19,2320.034,2388.828,Team 1,Terrorist,NORMAL,18300,25850
82,esea_match_13779769.dem,de_inferno,20,2388.828,2499.616,Team 1,Terrorist,ECO,5950,25400
83,esea_match_13779769.dem,de_inferno,21,2499.616,2669.607,Team 2,CounterTerrorist,NORMAL,19000,25600
84,esea_match_13779769.dem,de_inferno,22,2669.607,2762.324,Team 1,Terrorist,NORMAL,19850,22650
